127.0.0.1 - - [09/Mar/2018:09:16:00 +0000] "GET / HTTP/1.1" 404 994
127.0.0.1 - - [09/Mar/2018:09:16:08 +0000] "POST /ProductCatalogSOAPService/services/AdminService HTTP/1.0" 200 291
127.0.0.1 - - [09/Mar/2018:09:16:08 +0000] "POST /ProductCatalogSOAPService/services/AdminService HTTP/1.0" 200 4992
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:16:35 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:16:35 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:16:35 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:16:35 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:16:50 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:16:50 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:16:50 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:16:50 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:16:55 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:16:55 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:16:55 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:16:55 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:17:06 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:17:06 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:17:06 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:17:06 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:17:10 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:17:10 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:17:10 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:17:10 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:17:16 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:17:16 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:17:16 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:17:16 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:17:50 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:17:50 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:17:50 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:17:50 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:17:52 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:17:52 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:17:52 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:17:52 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:17:55 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:17:55 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:17:55 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:17:55 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:18:17 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:18:17 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:18:17 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:18:17 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:18:29 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:18:29 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:18:29 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:18:29 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:18:39 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:18:39 +0000] "-" 400 -
